"STT","Message","Spam","Ads","Entertainment","App","RealEstale","Villa","Apartment","House","Lots","Financial","Bank","Card","Loans","Promotion","Harm","Scam","MoneyScam","PasswordScam","InfoScam","Virus"
"576","Anh chị xem lại giúp e ảnh nào làm ảnh bìa album nhé..nt mã số ảnh vào số e. Áo cưới vang định","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"577","Anh chị xem lại giúp e ảnh nào làm ảnh bìa album nhé..nt mã số ảnh vào số e. Áo cưới vang định","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"606","Phong so 3 tang 4 toa T2 khu do thi Timescity 458 Minh Khai chan cau Vinh Tuy. Di xuong tang ham cua T1 de gui xe  tang ham B2 (xe may)hoac  B3 (o to) duoi toa T1.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"607","Phong so 3 tang 4 toa T2 khu do thi Timescity 458 Minh Khai chan cau Vinh Tuy. Di xuong tang ham cua T1 de gui xe  tang ham B2 (xe may)hoac  B3 (o to) duoi toa T1.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"635","Phong so 3 tang 4 toa T2 khu do thi Timescity 458 Minh Khai chan cau Vinh Tuy. Di xuong tang ham cua T1 de gui xe  tang ham B2 (xe may)hoac  B3 (o to) duoi toa T1.","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"796","Liên hệ với Khánh TCT Cầu Thăng Long: Khánh IT 0912040064","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"797","Liên hệ với Khánh TCT Cầu Thăng Long: Khánh IT 0912040064","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"910","Em xin phep den muon ty chi nhe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"949","Em xin phep den muon ty chi nhe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1101","Em xin phep den muon ty chi nhe","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1297","Nguyễn Thị Thắm
Chuyên Viên Văn Thư, VĂN PHÒNG TỔNG CÔNG TY
PTSC
Cơ quan 366-6932
Di động 0978875868
Khác thamnguyen@ptsc.com.vn","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1351","Nguyễn Thị Thắm
Chuyên Viên Văn Thư, VĂN PHÒNG TỔNG CÔNG TY
PTSC
Cơ quan 366-6932
Di động 0978875868
Khác thamnguyen@ptsc.com.vn","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1396","Em xin phep lam viec o nha hom nay Chi nhe. Em Duong","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1404","Tinh hinh la ko lam duoc vu nay dau Duong a. Vi bay gio dang tam tru o trong cuu viet roi len ko lam duoc vu nay dau","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
"1405","Tinh hinh la ko lam duoc vu nay dau Duong a. Vi bay gio dang tam tru o trong cuu viet roi len ko lam duoc vu nay dau","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0","0"
